"Picture","Location","MLS #","Address","Closing Date","Sold Price","List Price","Year Built","Fin Above Grd SqFt","Total Finished SqFt","Bedrooms","# Full Baths Total","Est. Total Acres","Subdivision","Days On Market","School District","Cumulative DOM"
"25","MADISON - C  W14","1748171","1702 VILAS AVE",,,"$1,050,000","1910","3,600","3,800","4","3","0.1600","Wingra","58","Madison","58"
"22","MADISON - C  W14","1749934","177 N PROSPECT AVE",,,"$765,000","1926","2,306","3,003","4","2","0.1600","University Heights","43","Madison","43"
"17","MADISON - C  W14","1751003","201 Lathrop St",,,"$674,000","1927","2,755","2,755","4","3","0.1440","University Heights","30","Madison","30"
"25","MADISON - C  W14","1748300","1717 Hoyt St",,,"$624,900","1924","2,990","2,990","4","1","0.1270","University Heights","60","Madison","60"
"25","MADISON - C  W14","1733392","710 S Prospect Ave",,,"$599,900","1910","3,000","3,400","4","2","0.1400","Dudgeon-Monroe","223","Madison","223"
"25","MADISON - C  W14","1749704","1933 West Lawn Ave",,,"$599,000","1912","1,969","1,969","4","2","0.1300","West Lawn","44","Madison","44"
"25","MADISON - C  W14","1752887","4154 Manitou Way",,,"$575,000","1937","1,848","2,196","4","2","0.2100","Nakoma","15","Madison","15"
"25","MADISON - C  W14","1739660","2223 Chamberlain Ave",,,"$574,900","1915","2,556","2,556","4","2","0.1530","University Heights","135","Madison","135"
"20","MADISON - C  W14","1751310","120 VIRGINIA TERR",,,"$550,000","1981","2,945","2,945","5","2","0.1500","West Lawn Heights","28","Madison","366"
"25","MADISON - C  W14","1739508","1908 Arlington Pl",,,"$549,900","1899","3,015","3,015","5","3","0.2610","University Heights","135","Madison","135"
"22","MADISON - C  W14","1751175","2246 ROWLEY AVE",,,"$543,000","1923","2,204","3,020","4","3","0.1400","WEST LAWN HEIGHTS","28","Madison","222"
"24","MADISON - C  W14","1742102","1815 Madison St",,,"$499,900","1915","2,651","3,003","5","2","0.1500","Wingra/Vilas","114","Madison","114"
"25","MADISON - C  W14","1737383","2006 Monroe St",,,"$494,900","999","2,871","3,934","4","2","0.1400","Dudgeon-Monroe","159","Madison","225"
"25","MADISON - C  W14","1743173","2263 REGENT ST",,,"$450,000","1929","2,750","2,750","4","2","0.1400","West Lawn","105","Madison","105"
"9","MADISON - C  W14","1748737","1018 VILAS AVE",,,"$449,000","1904","2,201","2,201","4","2","0.2000","None","55","Madison","55"
"20","MADISON - C  W14","1744927","663 Pickford St",,,"$435,900","1928","1,878","2,178","3","1","0.1100","Dugeon/Monroe","89","Madison","89"
"22","MADISON - C  W14","1744012","2229 Eton Ridge",,,"$429,900","1922","1,936","1,936","4","2","0.1400","West Lawn Heights","93","Madison","93"
"25","MADISON - C  W14","1751869","918 West Shore Dr",,,"$425,000","1942","1,230","1,795","3","1","0.1100","n/a","22","Madison","22"
"17","MADISON - C  W14","1746538","1027 Chandler St",,,"$399,900","1923","2,484","2,484","5","2","0.0920","NA","75","Madison","75"
"25","MADISON - C  W14","1748571","2105 Keyes Ave",,,"$399,900","1916","1,823","1,823","4","1","0.1370","West Lawn","35","Madison","35"
"5","MADISON - C  W14","1746123","1822 VAN HISE AVE",,,"$389,900","1913","1,660","1,660","3","1","0.1400","University Heights","77","Madison","77"
"25","MADISON - C  W14","1750951","1826 ROWLEY AVE",,,"$379,900","1922","1,517","1,517","3","1","0.1100","West Lawn Heights","30","Madison","30"
"24","MADISON - C  W14","1751549","2314 MONROE ST",,,"$379,000","1926","1,580","1,580","3","1","0.1300","Dudgeon-Monroe Neighborhood","14","Madison","14"
"25","MADISON - C  W14","1753169","1521 Jefferson St",,,"$375,000","2012","1,418","1,940","3","2","0.1100","Oakland Heights","14","Madison","14"
"10","MADISON - C  W14","1743589","2317 Regent St",,,"$367,500","1929","2,048","2,048","3","1","0.1380","West Lawn Heights","99","Madison","99"
"18","MADISON - C  W14","1749383","2215 Rowley Ave",,,"$365,000","1922","1,326","1,326","3","1","0.1400","West Lawn Heights","48","Madison","48"
"22","MADISON - C  W14","1746505","8 Virginia Terr",,,"$359,900","1952","1,550","1,550","3","2","0.1500","West Lawn Heights","75","Madison","75"
"25","MADISON - C  W14","1751357","143 S Brittingham Pl",,,"$359,000","1935","1,339","1,339","3","1","0.1100","NA","27","Madison","27"
"17","MADISON - C  W14","1750207","2259 REGENT ST",,,"$349,900","1909","1,866","1,866","3","2","0.1400","West Lawn Heights","42","Madison","42"
"21","MADISON - C  W14","1739016","1121 ERIN ST",,,"$325,000","1922","1,572","1,572","3","1","0.0001","Arboretum Co-Housing","141","Madison","141"
"4","MADISON - C  W14","1752522","2301 Chamberlain Ave",,,"$310,000","1902","1,629","1,629","4","1","0.1640","University Heights","16","Madison","16"
"15","MADISON - C  W14","1745620","1113 VILAS AVE",,,"$309,900","1916","1,676","1,676","4","1","0.2200","Greenbush","84","Madison","84"
"16","MADISON - C  W14","1751436","2022 Kendall Ave",,,"$299,900","1932","1,880","1,880","4","1","0.1900","University Heights","33","Madison","33"
"6","MADISON - C  W14","1752798","317 S Orchard St",,,"$274,900","1914","1,402","1,402","4","2","0.1200","None","14","Madison","14"
"19","MADISON - C  W14","1750366","625 FREDERICK LN",,,"$245,000","1951","816","1,316","2","2","0.1900","Westmorland","37","Madison","37"
"12","MADISON - C  W14","1748601","1324 Fish Hatchery Rd",,,"$189,500","1949","926","1,200","3","2","0.2200","WINGRA DRIVE ADD","54","Madison","54"
"20","MADISON - C  W14","1741099","1328 FISH HATCHERY RD",,,"$162,500","1949","926","1,214","3","1","0.2180","WINGRA DRIVE ADD","128","Madison","128"
